position_bucket,n,mean_norm_pos,influence_at_answer,influence_surrounding,peak_to_trough,middle_influence_mass
0.02,50,0.027585532746823068,0.08502007246686843,0.0038368956017347956,149.26949987081417,0.04227610383968702
0.05,50,0.05782991202346041,0.8160511994373519,0.026456526273395866,122.7578929763971,0.02766291478153108
0.1,50,0.10666666666666666,0.31137617582717214,0.008597494235905287,143.65633452438715,0.02510943798454384
0.2,50,0.2060410557184751,2.118583509991586,0.11146586482722341,137.3143908237881,0.11997334228098727
0.35,50,0.3546823069403715,0.424106220722897,0.011142626373057282,106.29774102198313,0.044716561747004904
0.5,50,0.5026392961876833,0.30182810983271335,0.008724462260329347,67.33603043311372,0.6544121354775972
0.65,50,0.6511045943304008,0.22999856827169424,0.005016548902549402,62.42786546496124,0.16372707388092436
0.8,50,0.799784946236559,1.7464101872616447,0.039195650372403176,79.07319703693061,0.08518323067075445
0.9,50,0.8989638318670575,2.6728871825779787,0.06060438029775469,33.987289155949306,0.05016710638913184
0.95,50,0.9479765395894426,1.3872849542080075,0.033815460252799315,104.13886265823595,0.03969532592792496
0.98,50,0.9781818181818182,2.6396321802046803,0.08959044292529825,100.7255547346724,0.04982944497885207
