position_bucket,n,mean_norm_pos,influence_at_answer,influence_surrounding,peak_to_trough,middle_influence_mass
0.02,2,0.050980392156862744,5.513411521911621,3.136546492576599,20.29840872648956,0.08967067340718782
0.05,2,0.08039215686274509,8.93483829498291,3.033817768096924,20.718076919673692,0.09236405425886096
0.1,2,0.12745098039215685,3.661164104938507,1.7620294094085693,10.726934051934336,0.09799495641325504
0.2,2,0.2235294117647059,3.7278478145599365,2.210532486438751,11.98283106541644,0.09458970457896071
0.35,2,0.3686274509803922,3.9665108919143677,2.134557604789734,8.696546219573092,0.09571228914913762
0.5,2,0.5117647058823529,3.3708291053771973,3.137061595916748,12.798581870771107,0.4267645101678582
0.65,2,0.6549019607843137,5.77254056930542,4.019809007644653,13.08864827210742,0.1602860125256226
0.8,2,0.8,10.50817096233368,3.795559883117676,19.887387090902727,0.09964967949547603
0.9,2,0.8941176470588236,3.174484133720398,1.7915178537368774,11.764349635199013,0.10513015798335691
0.95,2,0.9431372549019608,5.6409125328063965,4.125878095626831,19.250085911763367,0.08981656464548061
0.98,2,0.9725490196078431,9.044660568237305,5.860343098640442,20.40645206606099,0.0887455613216911
