position_bucket,n,mean_norm_pos,influence_at_answer,influence_surrounding,peak_to_trough,middle_influence_mass
0.02,50,0.027585532746823068,0.16896497160196305,0.20370144098997117,5.244691258643106,0.15110679380052217
0.05,50,0.05782991202346041,0.11907981425523757,0.12412715390324593,5.386988688842899,0.1504255291309479
0.1,50,0.10666666666666666,0.09257842928171157,0.09432461366057396,5.219442835533507,0.15125034866692194
0.2,50,0.2060410557184751,0.06755778841674327,0.0678315706551075,5.412490610655213,0.1501484002460059
0.35,50,0.3546823069403715,0.05236388124525547,0.05240162305533886,5.180927174030254,0.15171623157297037
0.5,50,0.5026392961876833,0.04616373941302299,0.046474027559161184,5.246477992922808,0.15112602804666364
0.65,50,0.6511045943304008,0.04304423153400421,0.04282208122313023,5.323556591054918,0.15080739325136017
0.8,50,0.799784946236559,0.04180037401616574,0.0416573491692543,5.2872361473510265,0.15055378761896393
0.9,50,0.8989638318670575,0.04225895993411541,0.042373463585972784,5.263368251212521,0.15124143547824406
0.95,50,0.9479765395894426,0.04116426058113575,0.040947354435920714,5.3275682306480645,0.15068862483630868
0.98,50,0.9781818181818182,0.04113087370991707,0.04156757198274136,5.26096401274132,0.15141058695074738
