step,epoch,loss,weighted_loss
1,0,4.689181983470917,4.604029178619385
2,0,3.0289295315742493,3.0835776329040527
3,0,0.6176578029990196,0.5290188193321228
4,0,0.006191241001943126,0.006018255837261677
5,0,0.0018285363321410841,0.0014802380464971066
6,0,5.102081462013302,3.7745156288146973
7,0,0.2494297992529937,0.17927666008472443
8,0,0.028664372803177685,0.027112415060400963
9,0,0.15204762807115912,0.12378378957509995
10,0,0.08003877580631524,0.08631540834903717
11,0,0.006086480570957065,0.006225408520549536
12,0,0.015074851922690868,0.016605591401457787
13,0,0.002324956003576517,0.002591139869764447
14,0,0.00024795247077236127,0.00024181653861887753
15,0,0.11128491086037684,0.15191803872585297
16,0,0.000839760976305115,0.0008392744930461049
17,0,0.003009531022939882,0.0045981379225850105
18,0,0.0008907285833856804,0.0011166151380166411
19,0,0.000861711977449886,0.0013189943274483085
20,0,0.0643992372424691,0.03964906185865402
21,0,0.10535175452787371,0.07728941738605499
22,0,0.011913435355381807,0.010869543999433517
23,0,0.10142371866095345,0.1542881429195404
24,0,0.005124541010445682,0.004865465220063925
25,0,0.008486436132443487,0.00783076137304306
26,0,0.42624208806682873,0.4617709219455719
27,0,0.05583915900569991,0.0456477552652359
28,0,0.010446327083627693,0.01187219750136137
29,0,0.0009130806356552057,0.0009345710277557373
30,0,0.0008365349112864351,0.0006365485605783761
31,0,0.00556117994710803,0.004932389594614506
32,0,0.07867990422528237,0.06722152978181839
33,0,0.19952776504214853,0.1893451064825058
34,0,0.006113664319855161,0.005701111629605293
35,0,0.2323145262489561,0.191563680768013
36,0,0.030845892688375898,0.030610216781497
37,0,0.0005666366214427399,0.0006181097705848515
38,0,0.3023981646510947,0.2869376540184021
39,0,0.0010808744750647747,0.000908047310076654
40,0,0.0007565412015537731,0.001008648774586618
41,0,0.007061931170937896,0.006645288784056902
42,0,0.02410425744164968,0.022729257121682167
43,0,0.0014167549739170227,0.001783976098522544
44,0,0.0002623363493512443,0.0002588150091469288
45,0,0.00140289772525648,0.001130295335315168
46,0,0.00028953536934750446,0.00021369567548390478
47,0,0.00011383719834157091,0.0001309258077526465
48,0,7.482678736892012e-05,6.64197577862069e-05
49,0,0.0020995803279220127,0.001737418002448976
50,0,0.0005503247029992053,0.0005959241534583271
51,0,0.0005189937073737383,0.0004058258200529963
52,0,0.0010784886408146122,0.0008812732412479818
53,0,0.0004920405833104269,0.0005163854802958667
54,0,0.00291543574348907,0.0029087807051837444
55,0,0.005105786457079375,0.004154686816036701
56,0,0.00024101836879708571,0.0002967706823255867
57,0,0.42247168208859875,0.29425308108329773
58,0,0.0019753539231714967,0.0017762193456292152
59,0,0.0006381421126206988,0.0008053752244450152
60,0,0.0020239556951082704,0.0026390948332846165
61,0,0.010405570312286727,0.007065034005790949
62,0,0.01140504163413425,0.01522576343268156
63,0,0.02146228608717138,0.016498731449246407
64,0,0.003100359396512431,0.0023586051538586617
65,0,0.002382451545713593,0.002399747259914875
66,0,0.00017447786569846357,0.0001792727125575766
67,0,0.08955693123789388,0.12344768643379211
68,0,0.09438905116866181,0.07245712727308273
69,0,0.0057054035569308326,0.004903855733573437
70,0,0.0016898118883545976,0.0018281657248735428
71,0,0.0001692299047135748,0.00015594025899190456
72,0,0.0057205205303034745,0.005758585408329964
73,0,0.0008796422171144513,0.0010251665953546762
74,0,0.0019237973447161494,0.0016593598993495107
75,0,0.0025870079152525705,0.0018538032891228795
76,0,0.0006080984155687474,0.0004613313649315387
77,0,0.0001331606686107989,0.0001273782254429534
78,0,3.0233320330808056e-05,3.678664143080823e-05
79,0,0.0002740648041026361,0.0002881746331695467
80,0,0.0005279955028072436,0.0005034921341575682
81,0,0.0002901481911976589,0.0002638905425556004
82,0,0.004553774413011524,0.006815883796662092
83,0,0.0010037367931090557,0.0010707265464589
84,0,0.006662005450380093,0.004891985096037388
85,0,0.013901238923608616,0.02024311013519764
86,0,7.096832723618718e-05,7.764393376419321e-05
87,0,0.00028608601519408694,0.00027843654970638454
88,0,0.0012887793509435141,0.0014935705112293363
89,0,0.0004913577386105317,0.0005661394097842276
90,0,0.00720243605246651,0.0045097689144313335
91,0,0.013034666211638068,0.012481515295803547
92,0,1.5655769857403357e-05,1.3578934158431366e-05
93,0,5.5730003509779635e-06,5.714194685424445e-06
94,0,0.00017264173038711306,0.00017409728025086224
95,0,0.0043221672581239545,0.006274453829973936
96,0,0.0001433229549547832,0.00011043570702895522
97,0,0.0031300621394620975,0.0023790975101292133
98,0,0.0007691998675909417,0.0010346467606723309
99,0,0.0013161071672129765,0.0019781189039349556
100,0,0.0001353396264107687,9.574564319336787e-05
101,0,0.0008742356003459406,0.0008288158569484949
102,0,0.000983919455393334,0.0016482467763125896
103,0,0.00012167460238288186,0.00010090851719724014
104,0,0.00011129900835271656,0.00010796601418405771
105,0,0.0011677358573365382,0.0007736876141279936
106,0,0.0024013728216232266,0.0027468332555145025
107,0,0.0005816343111462174,0.0004678505356423557
108,0,0.000225946349928563,0.0002430054300930351
109,0,0.0033712344857121934,0.003299172967672348
110,0,0.005085986596895964,0.0069557311944663525
111,0,0.00046745654913138424,0.0004527544660959393
112,0,0.0011162662231072318,0.0008701095939613879
113,0,0.060405771888326854,0.04489055648446083
114,0,0.00201477103655634,0.0026507664006203413
115,0,0.005132712809427176,0.006447107996791601
116,0,0.00011427924391682609,0.0001421244814991951
117,0,0.0030198716867744224,0.0024134106934070587
118,0,0.00021375611187224308,0.00019253059872426093
119,0,0.00040866975223252666,0.0004648138419725001
120,0,0.0002312761366738414,0.0002244682691525668
121,0,0.0035129933128246194,0.002516270847991109
122,0,0.1367805836489424,0.17667216062545776
123,0,0.5398728143297831,0.3329850137233734
124,0,5.631773569803045e-05,5.787637201137841e-05
125,0,0.0036131787862956344,0.0020278627052903175
126,0,0.0025157097958299346,0.0019690226763486862
127,0,2.8796546811094004e-05,2.0761104678967968e-05
128,0,2.132230412144054e-05,2.0349601982161403e-05
129,0,5.5495070625966036e-05,4.3434949475340545e-05
130,0,0.00040720311835684697,0.0002555472601670772
131,0,0.00010001616050203666,0.0001527848216937855
132,0,0.001025969743523092,0.0007392397383227944
133,0,0.00300499185902936,0.0029717811848968267
134,0,0.0017072010869014775,0.0014391264412552118
135,0,0.005066449468813516,0.004654754884541035
136,0,4.95723512301538e-05,3.6906487366650254e-05
137,0,0.0001140489393947064,0.0001152935583377257
138,0,2.503387349861441e-06,2.6084808268933557e-06
139,1,0.7234817236883231,0.5150164365768433
