step,epoch,loss,weighted_loss
1,0,4.689181983470917,4.689181804656982
2,0,2.944058656692505,2.944058656692505
3,0,1.7053304612636566,1.705330491065979
4,0,0.022939329966902733,0.022939329966902733
5,0,0.003138466337986756,0.0031384662725031376
6,0,0.2033346567532135,0.20333465933799744
7,0,0.0003771486681216629,0.00037714868085458875
8,0,0.001626623678021133,0.0016266235616058111
9,0,0.0018880260176956654,0.0018880260176956654
10,0,0.001309161030803807,0.0013091610744595528
11,0,0.00023968555433384608,0.0002396855561528355
12,0,0.0014805210194026586,0.001480520935729146
13,0,0.0009642849309443591,0.0009642849327065051
14,0,0.059813114496336084,0.05981311574578285
15,0,0.13961190422025993,0.13961189985275269
16,0,0.0001000508791548782,0.00010005088552134112
17,0,0.019744039618331044,0.019744038581848145
18,0,0.0010628801956045208,0.0010628801537677646
19,0,0.004760258561873343,0.004760258365422487
20,0,0.11644947921740822,0.11644948273897171
21,0,0.0005973382394586224,0.0005973382503725588
22,0,8.312297040902195e-05,8.312297723023221e-05
23,0,0.01572809834669897,0.015728097409009933
24,0,0.0010418440915600513,0.001041844137944281
25,0,0.00023355690609605517,0.00023355690063908696
26,0,0.024007058749589305,0.024007059633731842
27,0,0.03870358985841449,0.038703590631484985
28,0,0.001019106468447717,0.0010191064793616533
29,0,0.0002855836746675777,0.00028558369376696646
30,0,0.0006673235307061987,0.0006673235329799354
31,0,0.002104249526382773,0.0021042495500296354
32,0,0.00016765203076829494,0.00016765203326940536
33,0,0.00021027637285442324,0.00021027638285886496
34,0,0.0003969635470184585,0.0003969635581597686
35,0,0.05559026172443282,0.05559026449918747
36,0,0.001520680607882241,0.0015206806128844619
37,0,0.0514214835391158,0.05142148211598396
38,0,0.03303400141521706,0.03303400054574013
39,0,1.1131000633213262e-05,1.1131000064779073e-05
40,0,0.0005479119186020398,0.0005479119135998189
41,0,0.0002315908823220525,0.0002315908786840737
42,0,0.00014351621086916566,0.00014351621211972088
43,0,1.3613153425503697,1.361315369606018
44,0,0.0035558787640184164,0.0035558787640184164
45,0,0.004425418628670741,0.004425418563187122
46,0,0.00031993422726372955,0.00031993421725928783
47,0,0.0005963183903077152,0.000596318393945694
48,0,1.4915697438055986e-05,1.4915696738171391e-05
49,0,0.00030146231358685327,0.0003014623071067035
50,0,0.0002487215782309704,0.0002487215679138899
51,0,0.01475581870181486,0.014755818992853165
52,0,0.0008420769388521876,0.0008420769590884447
53,0,0.002278276238939725,0.00227827625349164
54,0,0.02238737485913589,0.022387376055121422
55,0,0.00011490600101637938,0.00011490600445540622
56,0,0.00019951007425333955,0.0001995100756175816
57,0,0.0013585209476332238,0.0013585210544988513
58,0,0.001301050351116828,0.0013010503025725484
59,0,0.00232490848065936,0.0023249085061252117
60,0,0.01091438239927811,0.01091438252478838
61,0,0.0001176034149921179,0.00011760341294575483
62,0,0.0006710789830322028,0.0006710789748467505
63,0,0.0009824777654898753,0.0009824777953326702
64,0,5.365353968045383e-05,5.36535371793434e-05
65,0,0.002203056602184006,0.0022030568215996027
66,0,0.0002341258173856886,0.0002341258223168552
67,0,0.0009828753275087365,0.0009828753536567092
68,0,0.007036017399229877,0.007036017253994942
69,0,0.0024589255190221593,0.0024589253589510918
70,0,0.022854969131913094,0.022854968905448914
71,0,0.00047751319743838394,0.00047751321108080447
72,0,0.0004822767433552144,0.00048227672232314944
73,0,0.0014178662713675294,0.0014178662095218897
74,0,6.17284950976682e-05,6.172849680297077e-05
75,0,0.0008948475410761603,0.000894847558811307
76,0,0.00302934563751478,0.0030293455347418785
77,0,9.906174457796624e-05,9.906174091156572e-05
78,0,0.006331159289686639,0.006331159733235836
79,0,0.003886664045694488,0.003886664053425193
80,0,0.04238003719797234,0.042380038648843765
81,0,0.00013850466427811625,0.0001385046634823084
82,0,0.00012395575367918354,0.00012395574594847858
83,0,0.2838759335481882,0.2838759124279022
84,0,0.0011533763681654818,0.0011533763026818633
85,0,0.2150053379300516,0.21500535309314728
86,0,0.008523697298414845,0.008523697033524513
87,0,0.0044532327802926375,0.004453232977539301
88,0,0.0001646731116125011,0.0001646731107030064
89,0,0.0006404544474207796,0.0006404544692486525
90,0,5.1791896666486537e-05,5.17918961122632e-05
91,0,0.0033836665952549083,0.0033836665097624063
92,0,1.678299110707826e-05,1.678299122431781e-05
93,0,9.392700923172015e-05,9.392701031174511e-05
94,0,0.00030918390172018917,0.00030918390257284045
95,0,0.00041757782537388266,0.0004175778303761035
96,0,0.0002176559486670726,0.00021765595010947436
97,0,0.0001969982113223523,0.0001969982113223523
98,0,0.00020300068126744009,0.00020300068717915565
99,0,0.00034918035328246333,0.00034918036544695497
100,0,0.0012546326790925377,0.0012546327197924256
101,0,0.041283224934886675,0.041283223778009415
102,0,2.502298139006598e-05,2.5022980480571277e-05
103,0,0.0023132878709475335,0.002313287928700447
104,0,0.0013537984380640466,0.001353798434138298
105,0,0.02884113524885379,0.028841136023402214
106,0,0.0004247070296514721,0.00042470701737329364
107,0,0.003618841061324929,0.0036188410595059395
108,0,0.2533735176423306,0.25337350368499756
109,0,0.00021681468024326023,0.00021681468933820724
110,0,0.019965811406677858,0.01996581070125103
111,0,0.05084676880551342,0.05084676668047905
112,0,0.0009092050618164649,0.0009092050604522228
113,0,0.21423753717863292,0.2142375409603119
114,0,7.674261985357589e-05,7.674261723877862e-05
115,0,0.158573944669115,0.1585739403963089
116,0,0.003805739248491591,0.0038057391066104174
117,0,0.15451267061075669,0.1545126736164093
118,0,0.00496430345265253,0.004964303225278854
119,0,0.001625072193746746,0.0016250722110271454
120,0,0.00015487216012388672,0.00015487216296605766
121,0,0.06979950795039258,0.0697995126247406
122,0,0.0005807451761938864,0.0005807451670989394
123,0,0.0004783371887242538,0.0004783371987286955
124,0,0.0007029101182070008,0.0007029101252555847
125,0,0.0006870827273814939,0.000687082705553621
126,0,0.048637203115504235,0.04863720387220383
127,0,0.0035652114675031044,0.003565211547538638
128,0,5.113695624459069e-05,5.113695442560129e-05
129,0,0.0032950985796560417,0.0032950984314084053
130,0,0.0017857919833659253,0.0017857919447124004
131,0,0.00021551645795625518,0.00021551645477302372
132,0,7.529994068278256e-06,7.529994036303833e-06
133,0,0.003070219264284191,0.003070219187065959
134,0,0.0002161972101930587,0.00021619720791932195
135,0,6.390608313111557e-05,6.390608177753165e-05
136,0,0.0001105290679817017,0.00011052906484110281
137,0,4.8586621687718434e-05,4.8586622142465785e-05
138,0,1.16228943625174e-06,1.16228943625174e-06
139,1,0.0001514262276032241,0.0001514262257842347
140,1,1.1935672489471472e-05,1.1935671864193864e-05
141,1,3.253650129408925e-05,3.2536503567826e-05
142,1,0.0013693930152385292,0.001369392964988947
143,1,0.00041250327876696247,0.00041250328649766743
144,1,0.00011560156372070196,0.00011560156417544931
145,1,0.00010934664760497981,0.00010934664896922186
146,1,0.014457570345257409,0.014457570388913155
147,1,3.4548830512903805e-05,3.454882971709594e-05
148,1,2.6441090739126594e-05,2.6441090085427277e-05
149,1,1.7334989763639896e-06,1.7334989479422802e-06
150,1,0.00045319100593133044,0.00045319099444895983
151,1,0.00011890326442198784,0.0001189032627735287
152,1,9.114299153623051e-06,9.114299245993607e-06
153,1,0.0011512429992706075,0.0011512429919093847
154,1,1.827807027154904e-05,1.827806954679545e-05
155,1,0.0003287137145093766,0.0003287137078586966
156,1,1.1965586840273055,1.1965585947036743
157,1,0.00014263971752370708,0.00014263970660977066
158,1,0.00134045806589711,0.001340458053164184
159,1,0.00014621703252259977,0.00014621703303419054
160,1,9.551485447900632e-06,9.55148607317824e-06
161,1,6.316620372359694e-05,6.316620419966057e-05
162,1,1.425541710453615e-06,1.4255417681852123e-06
163,1,9.020051038532984e-06,9.020051038532984e-06
164,1,0.0001236826335571095,0.0001236826356034726
165,1,2.8662905947385298e-05,2.8662905606324784e-05
166,1,6.332174510248478e-05,6.332174962153658e-05
167,1,0.0002119293335454131,0.00021192933490965515
168,1,0.0018857124136957282,0.0018857123795896769
169,1,5.111053905437757e-06,5.111053724249359e-06
170,1,0.037608434291342974,0.03760843351483345
171,1,3.713815279837718e-05,3.7138153857085854e-05
172,1,0.0002876615276221628,0.0002876615326385945
173,1,3.107670687541031e-05,3.107670636381954e-05
174,1,0.005874579922988232,0.005874579772353172
175,1,0.00015258979783538962,0.00015258979692589492
176,1,0.0017444741024519317,0.0017444740515202284
177,1,0.0008647282609217655,0.0008647282375022769
178,1,0.0040241492572477,0.004024148918688297
179,1,1.1329518883940182e-05,1.1329518201819155e-05
180,1,9.318545761516361e-05,9.318545926362276e-05
181,1,2.7049547043134226e-05,2.7049547497881576e-05
182,1,4.2649841702768754e-05,4.26498445449397e-05
183,1,0.0005508430155032329,0.0005508430185727775
184,1,7.5200787819085235e-06,7.5200791798124555e-06
185,1,1.2804603500171652e-05,1.280460310226772e-05
186,1,0.008496705275092609,0.008496705442667007
187,1,2.0071135423904707e-05,2.0071136532351375e-05
188,1,0.0001617501710597935,0.00016175016935449094
189,1,0.14834420802117165,0.14834420382976532
190,1,5.781513689839812e-05,5.781513755209744e-05
191,1,0.0002550364725948384,0.00025503645883873105
192,1,0.024980140426578146,0.02498014084994793
